country,ccode,year,month,dates,elecViolence1,l.elecViolence1,elecViolence2,l.elecViolence2,tae1,nvio1,tae2,nvio2,pcgdp,growth,logIMR,logpredict,SPI,lnpop2,political_violence,gov_democracy,gov_interim,logtenure,dem_duration,regav_dem,regav_pcgdp,regav_IMR,regav_growth,gdpdiff,del_reggdp,del_regten,del_regdem,growthdiff,del_reggrow
Cote d'Ivoire,437,1975,11,11/16/1975,peace,0,peace,0,1,0,1,0,607.2355957,1.210709572,4.906015396,0.012898746,-0.171015522,77.79512024,-0.361005604,0,0,5.220355988,0,0.041358529,600.2672729,4.784924215,1.119739732,1.01160872,0.141886115,-0.117223926,-0.000460985,1.081241965,-0.025011837
New Zealand,920,1975,11,11/29/1975,peace,0,peace,0,1,0,1,0,4024.474365,0.904827237,2.701361179,0.002077737,0.486221413,64.54545593,-0.361005604,1,0,2.77258873,4.231688023,0.895816414,1450.246826,4.078878383,1.078859919,2.775027275,0.146471143,-0.187955871,0.06825044,0.838688314,-0.095585898
Australia,900,1975,12,12/13/1975,peace,0,peace,0,1,0,1,0,7537.725586,1.080508232,2.667228222,0.001642254,0.992993686,90.99204254,-0.361005604,1,0,1.098612309,4.316376209,0.889454371,1339.935669,4.0777209,1.072131424,5.625438213,0.016319014,-0.259676278,-0.038779944,1.007813215,-0.098752536
El Salvador,92,1976,3,3/14/1976,vio,0,vio,0,1,0,1,0,584.6796265,1.208737135,4.529368401,0.00168648,-0.526683671,70.09078217,-0.35492,0,0,3.828641415,0,1.039914,2134.422363,3.936928761,1.110478472,0.273928732,0.147931665,-0.111609347,-0.030913632,1.088483214,0.01531343
Poland,290,1976,3,3/21/1976,peace,0,peace,0,1,0,1,0,1352.199219,1.061494827,3.173878431,0.000839587,-0.861273984,109.0423813,-0.361005604,0,0,4.174387455,0,2.072884877,5328.439453,2.927914857,1.071288516,0.253770202,0.06742125,-0.072766222,0.029302573,0.990858018,-0.052755758
Thailand,800,1976,4,4/4/1976,vio,1,peace,0,1,1,2,0,412.1080017,1.113617539,4.010962963,0.005166789,0.705604906,114.0509186,-0.228349626,1,0,2.708050251,0.733969152,0.825289101,1371.359253,4.050669902,1.063933096,0.300510615,0.114114255,-0.094004683,0.066942163,1.046698809,-0.009524887
Thailand,800,1976,4,4/4/1976,vio,1,peace,0,1,1,2,0,412.1080017,1.113617539,4.010962963,0.006839578,0.705604906,114.0509186,-0.228349626,1,0,0.693147182,0.733969152,0.825289101,1371.359253,4.050669902,1.063933096,0.300510615,0.114114255,-0.094004683,0.066942163,1.046698809,-0.009524887
Bulgaria,355,1976,5,5/30/1976,peace,0,peace,0,1,0,1,0,2039.484497,1.082837224,3.367295742,0.001516509,-0.075466091,82.40063477,-0.361005604,0,0,5.493061543,0,2.077126479,5328.439453,2.927914857,1.071288516,0.382754564,0.06742125,-0.07064563,0.028059095,1.010780215,-0.052755758
Italy,325,1976,6,6/20/1976,peace,0,peace,0,1,0,1,0,4082.559082,0.982007682,2.92852354,0.000796362,-0.427451335,119.2888107,-0.361005604,1,0,3.044522524,3.44998765,2.079197935,5328.439453,2.927914857,1.071288516,0.766182899,0.06742125,-0.0696619,0.027500615,0.916660309,-0.052755758
Mexico,70,1976,7,7/4/1976,peace,0,peace,0,1,0,1,0,1582.60498,0.984662831,4.169761181,0.001647533,0.488631292,121.7582321,-0.263635904,0,0,4.234106541,0,1.033364218,1991.813232,3.937553664,1.113045259,0.794554889,0.084899768,-0.020092232,-0.051850416,0.884656608,0.017880216
Mexico,70,1976,7,7/4/1976,peace,0,peace,0,1,0,1,0,1582.60498,0.984662831,4.169761181,0.001647533,0.488631292,121.7582321,-0.263635904,0,0,4.234106541,0,1.033364218,1991.813232,3.937553664,1.113045259,0.794554889,0.084899768,-0.020092232,-0.051850416,0.884656608,0.017880216
Mauritania,435,1976,8,8/8/1976,peace,1,peace,0,1,1,2,0,445.7118835,1.069920897,4.640537262,0.003364658,-0.54760111,51.97639847,-0.228349626,0,0,5.25227356,0,0.044957659,638.6008301,4.752078431,1.040938104,0.697950661,0.051825091,0.174589902,0.0037825,1.027842999,-0.079542786
Mauritania,435,1976,8,8/8/1976,peace,1,peace,0,1,1,2,0,445.7118835,1.069920897,4.640537262,0.003364658,-0.54760111,51.97639847,-0.228349626,0,0,5.25227356,0,0.044957659,638.6008301,4.752078431,1.040938104,0.697950661,0.051825091,0.174589902,0.0037825,1.027842999,-0.079542786
Cyprus,352,1976,9,9/5/1976,peace,0,peace,0,1,0,1,0,1478.965454,1.324352384,3.252101183,0.003539876,0.626072421,38.5939827,-0.361005604,0,0,3.135494232,0,2.096343923,5328.439453,2.927914857,1.071288516,0.277560711,0.06742125,-0.120415546,0.037137996,1.236223817,-0.052755758
Trinidad and Tobago,52,1976,9,9/13/1976,peace,0,peace,0,1,0,1,0,2479.899902,1.009488583,3.650658131,0.000777142,0.775884633,47.99649048,-0.361005604,1,0,5.141663551,2.719099998,1.004405634,1972.449829,3.935849811,1.110495476,1.257268906,0.087427467,-0.050529759,-0.087564394,0.909043372,0.015330433
